Date,Open,High,Low,Close,Volume
2015-08-18,116.43,117.44,116.01,116.5,34321855.0
2015-08-17,116.04,117.65,115.5,117.16,40637619.0
2015-08-14,114.32,116.31,114.01,116.0,42274361.0
2015-08-13,116.04,116.4,114.54,115.15,48008313.0
2015-08-12,112.53,115.42,109.63,115.24,100758347.0
2015-08-11,117.81,118.18,113.33,113.5499,95252852.0
2015-08-10,116.53,119.99,116.53,119.6901,53995783.0
